MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1135057018907,18.46,0.13,192.42626,34.82473,54888.35921,0
1135057018907,18.75,0.15,192.42633,34.82462,54861.43578,0
1135057018907,18.70,0.14,192.42604,34.82476,54861.44694,0
1135057018907,18.46,0.13,192.42639,34.82487,54861.45805,0
1135057018907,18.45,0.13,192.42637,34.82485,54861.46921,0
1135057018907,18.63,0.18,192.42610,34.82466,55040.15627,0
1135057018907,18.88,0.20,192.42601,34.82505,55040.16062,0
1135057018907,18.55,0.17,192.42651,34.82455,55040.16502,0
1135057018907,19.02,0.22,192.42600,34.82459,55040.16935,0
1135057018907,18.64,0.14,192.42643,34.82469,54907.43263,0
1135057018907,18.78,0.15,192.42621,34.82472,54907.43735,0
1135057018907,18.31,0.12,192.42641,34.82494,54907.44212,0
1135057018907,18.66,0.14,192.42629,34.82474,54907.44700,0
1135057018907,18.67,0.14,192.42630,34.82487,54914.28822,0
1135057018907,18.89,0.15,192.42624,34.82473,54914.29427,0
1135057018907,18.47,0.13,192.42627,34.82489,54914.30044,0
1135057018907,18.60,0.14,192.42621,34.82469,54914.30658,0
1135057018907,18.76,0.17,192.42608,34.82466,54954.27773,0
1135057018907,18.74,0.16,192.42644,34.82489,54968.29367,0
1135057018907,18.72,0.16,192.42629,34.82492,54968.30282,0
1135057018907,18.55,0.15,192.42624,34.82467,54968.31181,0
1135057018907,18.62,0.15,192.42618,34.82491,54968.32094,0
1135057018907,18.74,0.15,192.42633,34.82469,54981.20425,0
1135057018907,18.44,0.13,192.42626,34.82479,55298.37995,0
1135057018907,18.65,0.14,192.42637,34.82470,55298.38675,0
1135057018907,18.69,0.15,192.42625,34.82478,55298.39369,0
1135057018907,18.56,0.14,192.42644,34.82490,55298.40056,0
1135057018907,18.65,0.14,192.42644,34.82457,55244.43992,0
1135057018907,18.52,0.14,192.42615,34.82469,55244.44739,0
1135057018907,18.69,0.15,192.42619,34.82474,55244.45491,0
1135057018907,18.71,0.15,192.42609,34.82472,55244.46244,0
1135057018907,18.62,0.15,192.42625,34.82478,55359.18785,0
1135057018907,18.56,0.14,192.42643,34.82472,55359.19356,0
1135057018907,19.03,0.18,192.42641,34.82489,55359.19924,0
1135057018907,18.53,0.14,192.42616,34.82472,55359.20492,0
1135057018907,18.54,0.14,192.42585,34.82500,55369.24780,0
1135057018907,18.38,0.13,192.42708,34.82498,55369.25354,0
1135057018907,18.80,0.16,192.42612,34.82462,55369.25933,0
1135057018907,18.69,0.15,192.42634,34.82484,55369.26510,0
1135057018907,18.83,0.16,192.42610,34.82474,55260.47220,0
1135057018907,18.75,0.15,192.42617,34.82483,55260.47742,0
1135057018907,19.20,0.19,192.42630,34.82474,55260.48256,0
1135057018907,18.37,0.13,192.42621,34.82460,55260.48784,0
1135057018907,18.71,0.15,192.42630,34.82484,55271.31300,0
1135057018907,18.68,0.15,192.42605,34.82478,55271.31993,0
1135057018907,18.56,0.14,192.42639,34.82477,55271.32693,0
1135057018907,18.81,0.15,192.42619,34.82474,55271.33380,0
1135057018907,18.24,0.12,192.42674,34.82476,55280.25664,0
1135057018907,18.64,0.15,192.42640,34.82476,55280.26356,0
1135057018907,18.45,0.13,192.42637,34.82494,55280.27035,0
1135057018907,18.42,0.13,192.42640,34.82473,55280.27721,0
1135057018907,18.50,0.14,192.42613,34.82478,55325.31603,0
1135057018907,18.73,0.15,192.42617,34.82479,55325.32293,0
1135057018907,18.65,0.15,192.42608,34.82469,55325.32985,0
1135057018907,18.37,0.13,192.42640,34.82473,55325.33679,0
1135057018907,18.58,0.18,192.42606,34.82472,55331.17951,0
1135057018907,18.54,0.15,192.42625,34.82473,55331.18299,0
1135057018907,19.00,0.17,192.42619,34.82465,55338.24274,0
1135057018907,18.79,0.15,192.42626,34.82481,55338.25061,0
1135057018907,18.71,0.15,192.42657,34.82465,55338.25861,0
1135057018907,19.14,0.18,192.42625,34.82494,55338.26667,0
1135057018907,18.79,0.16,192.42610,34.82471,55681.35226,0
1135057018907,18.71,0.15,192.42613,34.82480,55681.35967,0
1135057018907,18.41,0.14,192.42624,34.82482,55681.36725,0
1135057018907,18.99,0.18,192.42622,34.82469,55681.37488,0
1135057018907,19.39,0.23,192.42628,34.82481,55615.46959,0
1135057018907,19.01,0.19,192.42609,34.82469,55615.47719,0
1135057018907,18.94,0.19,192.42640,34.82477,55615.48485,0
1135057018907,18.58,0.16,192.42617,34.82476,55615.49253,0
1135057018907,18.82,0.16,192.42611,34.82474,55723.26662,0
1135057018907,18.73,0.16,192.42599,34.82470,55723.27343,0
1135057018907,18.67,0.15,192.42588,34.82471,55723.28035,0
1135057018907,18.44,0.14,192.42605,34.82483,55723.28727,0
1135057018907,18.52,0.15,192.42629,34.82483,55628.35129,0
1135057018907,18.93,0.20,192.42628,34.82498,55628.35865,0
1135057018907,18.53,0.16,192.42595,34.82504,55628.36618,0
1135057018907,18.70,0.17,192.42605,34.82498,55628.37365,0
1135057018907,18.76,0.14,192.42615,34.82499,55650.35627,0
1135057018907,18.89,0.15,192.42619,34.82480,55650.36379,0
1135057018907,18.83,0.14,192.42603,34.82477,55650.37130,0
1135057018907,18.62,0.13,192.42610,34.82481,55650.37885,0
1135057018907,18.45,0.14,192.42624,34.82489,53887.26605,0
1135057018907,18.52,0.15,192.42616,34.82482,53887.27576,0
1135057018907,18.44,0.14,192.42629,34.82487,53887.28551,0
1135057018907,18.49,0.15,192.42611,34.82469,53887.29528,0
1135057018907,18.64,0.15,192.42606,34.82483,55882.50548,0
1135057018907,18.54,0.14,192.42668,34.82501,55882.50894,0
1135057018907,18.67,0.15,192.42618,34.82474,55882.51234,0
1135057018907,19.00,0.17,192.42637,34.82470,55882.51586,0
1135057018907,18.70,0.15,192.42632,34.82462,55979.49922,0
1135057018907,18.61,0.14,192.42642,34.82488,55979.50539,0
1135057018907,18.90,0.16,192.42638,34.82483,55979.51165,0
1135057018907,18.54,0.14,192.42661,34.82466,55979.51787,0
1135057018907,19.11,0.19,192.42614,34.82495,55986.37679,0
1135057018907,18.82,0.16,192.42620,34.82476,55986.38238,0
1135057018907,18.87,0.17,192.42619,34.82483,55986.38799,0
1135057018907,18.91,0.17,192.42637,34.82469,55986.39367,0
1135057018907,18.62,0.14,192.42607,34.82475,56001.46619,0
1135057018907,18.56,0.14,192.42658,34.82487,56001.47130,0
1135057018907,18.75,0.15,192.42632,34.82448,56001.47647,0
1135057018907,18.68,0.15,192.42613,34.82490,56001.48156,0
1135057018907,18.82,0.14,192.42627,34.82468,56008.39468,0
1135057018907,18.74,0.13,192.42633,34.82485,56008.40285,0
1135057018907,18.61,0.13,192.42648,34.82483,56008.41104,0
1135057018907,18.55,0.12,192.42639,34.82489,56008.41927,0
1135057018907,18.77,0.15,192.42619,34.82476,56015.33485,0
1135057018907,18.54,0.14,192.42631,34.82469,56015.34347,0
1135057018907,18.94,0.17,192.42620,34.82462,56015.35211,0
1135057018907,18.59,0.14,192.42646,34.82477,56015.36055,0
1135057018907,18.56,0.14,192.42644,34.82482,56037.22052,0
1135057018907,18.61,0.15,192.42638,34.82466,56037.22751,0
1135057018907,18.21,0.12,192.42670,34.82513,56037.23450,0
1135057018907,18.92,0.17,192.42612,34.82477,56037.24146,0
1135057018907,18.20,0.12,192.42643,34.82450,56066.31893,0
1135057018907,18.45,0.13,192.42663,34.82490,56066.32515,0
1135057018907,18.40,0.13,192.42616,34.82453,56066.33136,0
1135057018907,18.71,0.15,192.42632,34.82474,56066.33755,0
1135057018907,18.68,0.13,192.42641,34.82499,56097.21458,0
1135057018907,18.58,0.13,192.42653,34.82462,56097.22136,0
1135057018907,18.62,0.13,192.42648,34.82467,56097.22814,0
1135057018907,18.51,0.12,192.42639,34.82470,56097.23487,0
1135057018907,18.30,0.13,192.42604,34.82477,56314.36621,0
1135057018907,18.80,0.16,192.42620,34.82465,56314.37755,0
1135057018907,18.66,0.15,192.42640,34.82500,56314.38904,0
